user,channel,message,timestamp
autumn_bird_,healthygamer_gg ,Pog <3,2021-07-16 14:05:51
kwesiquest,healthygamer_gg ,monkaW,2021-07-16 14:05:51
explec0,healthygamer_gg ,monkaW OH,2021-07-16 14:05:51
sparks459,healthygamer_gg ,oh,2021-07-16 14:05:52
mahiel3,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:52
kaige18,healthygamer_gg ,BibleThump BibleThump BibleThump BibleThump,2021-07-16 14:05:53
streamelements,healthygamer_gg ,If you are enjoying the stream and want to support us consider subbing or donating (link below) to the channel and spreading the word!,2021-07-16 14:05:53
harevald,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:53
wizz4e,healthygamer_gg :,O,2021-07-16 14:05:53
eventz15,healthygamer_gg ,woah,2021-07-16 14:05:53
kyza_draws,healthygamer_gg ,wait wat,2021-07-16 14:05:54
wwwizzy,healthygamer_gg ,emmameiMegaSportyS,2021-07-16 14:05:54
storm55910,healthygamer_gg ,<3,2021-07-16 14:05:54
alfaananasz,healthygamer_gg ,plot twist,2021-07-16 14:05:54
jkspice420,healthygamer_gg ,monkaW,2021-07-16 14:05:54
seductive_nerd,healthygamer_gg ,Pog,2021-07-16 14:05:55
bs_blackscout,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:55
imsp00n,healthygamer_gg ,TWIST Pog,2021-07-16 14:05:56
mari_epk,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:05:56
superdarkvoiid,healthygamer_gg ,KomodoHype,2021-07-16 14:05:57
replaykay,healthygamer_gg ,wow,2021-07-16 14:05:57
kappaspammer9000,healthygamer_gg ,Oh,2021-07-16 14:05:57
aqualyn,healthygamer_gg ,uh O_o,2021-07-16 14:05:57
mightylion,healthygamer_gg ,anime twist,2021-07-16 14:05:57
wcafc,healthygamer_gg ,damn    FeelsStrongMan,2021-07-16 14:05:58
wado69,healthygamer_gg ,bruh,2021-07-16 14:05:58
fertheferry,healthygamer_gg :,o,2021-07-16 14:05:58
aliicat_,healthygamer_gg ,wow,2021-07-16 14:05:59
jackjoejacket,healthygamer_gg ,That’s great,2021-07-16 14:05:59
iwanthotdog,healthygamer_gg ,Pog,2021-07-16 14:05:59
sufferererik,healthygamer_gg ,this is like a movie plot,2021-07-16 14:05:59
reaperdiff,healthygamer_gg ,monkaW twist,2021-07-16 14:06:00
zappbdot,healthygamer_gg ,<3,2021-07-16 14:06:00
sandwich_smile,healthygamer_gg ,OH,2021-07-16 14:06:00
freedomsock,healthygamer_gg ,Damn,2021-07-16 14:06:01
modxta23,healthygamer_gg ,FeelsOkayMan,2021-07-16 14:06:01
zenith_,healthygamer_gg ,FeelsStrongMan omg,2021-07-16 14:06:02
fahd_khan,healthygamer_gg ,FeelsStrongMan <3,2021-07-16 14:06:02
xcdnor,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:02
killermonk_ow,healthygamer_gg ,bruh,2021-07-16 14:06:02
ghostility,healthygamer_gg ,Pog,2021-07-16 14:06:02
lounge_act,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:02
mahiel3,healthygamer_gg ,holy shit FeelsStrongMan,2021-07-16 14:06:02
margololita,healthygamer_gg ,Sadge king,2021-07-16 14:06:03
itztony1702,healthygamer_gg ,I respect that big time,2021-07-16 14:06:03
rashmodan,healthygamer_gg ,WOW,2021-07-16 14:06:03
duckdotduck,healthygamer_gg ,CHAD WITH A CHAD DAD TOO,2021-07-16 14:06:03
flaredrip,healthygamer_gg ,BibleThump BibleThump,2021-07-16 14:06:04
thedegu,healthygamer_gg ,WOW,2021-07-16 14:06:04
kwesiquest,healthygamer_gg :,O,2021-07-16 14:06:04
tweebunny,healthygamer_gg ,WOW,2021-07-16 14:06:05
schiffersgaming,healthygamer_gg ,BibleThump <3,2021-07-16 14:06:05
tqyzz,healthygamer_gg ,<3,2021-07-16 14:06:05
smorc11,healthygamer_gg ,<3,2021-07-16 14:06:06
baldestt,healthygamer_gg ,Sadge,2021-07-16 14:06:06
canef13,healthygamer_gg ,Sadge,2021-07-16 14:06:06
steviebuceemi,healthygamer_gg ,what a twist,2021-07-16 14:06:07
jw_is_fine,healthygamer_gg ,<3,2021-07-16 14:06:07
cybercleric,healthygamer_gg ,This guy gas an incredible amount of compassion. I genuinely believe he will be okay. ❤,2021-07-16 14:06:07
00meow_lw,healthygamer_gg ,wow,2021-07-16 14:06:07
replaykay,healthygamer_gg ,ok fine im crying,2021-07-16 14:06:07
shelouh_belenkaya,healthygamer_gg ,little information in many words,2021-07-16 14:06:08
dckrillin,healthygamer_gg ,Sadge,2021-07-16 14:06:08
buttfarm_poker_,healthygamer_gg ,Good Guy Dad FeelsStrongMan Good Guy Dad FeelsStrongMan Good Guy Dad FeelsStrongMan,2021-07-16 14:06:08
silent_fart_,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:09
ogxyuma,healthygamer_gg ,OH WOW THIS MAKES SO MUCH SENNNSEE,2021-07-16 14:06:09
protomanexe17,healthygamer_gg ,Sadge,2021-07-16 14:06:09
bestatnothing,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:10
nanachunk,healthygamer_gg ,FeelsStrongman,2021-07-16 14:06:10
petikelegjobbneve,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:10
ghostchili,healthygamer_gg ,anitaHeart anitaL,2021-07-16 14:06:10
bigfan21211,healthygamer_gg ,chad respect,2021-07-16 14:06:11
bjoe_,healthygamer_gg ,<3,2021-07-16 14:06:11
prodigyfps,healthygamer_gg ,BIG !!!,2021-07-16 14:06:11
jopeldo,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:11
maichats,healthygamer_gg ,Aw honey... <3,2021-07-16 14:06:11
c75stone,healthygamer_gg ,***,2021-07-16 14:06:11
thecookiestcookie,healthygamer_gg ,Sadge,2021-07-16 14:06:11
fading_sleep,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:11
mrpresident81,healthygamer_gg ,Sadge,2021-07-16 14:06:12
loern,healthygamer_gg ,FeelsStrongMan Clap let it out king,2021-07-16 14:06:12
padowic,healthygamer_gg ,Bruh thats a TRUE DAD,2021-07-16 14:06:12
gracedidntwakeup,healthygamer_gg ,<3,2021-07-16 14:06:12
juandjayego,healthygamer_gg ,word,2021-07-16 14:06:12
egohaze,healthygamer_gg ,<3 what a guy,2021-07-16 14:06:12
se7en_sinner,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:13
seductive_nerd,healthygamer_gg ,Pog REAL DAD,2021-07-16 14:06:13
cloudsjr,healthygamer_gg ,aww <3 <3 <3,2021-07-16 14:06:13
stigjo,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:13
a_salt_rifle,healthygamer_gg ,<3,2021-07-16 14:06:13
ghostility,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:13
windcaller_,healthygamer_gg ,widepeepoHappy,2021-07-16 14:06:13
palsbro,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:13
mahiel3,healthygamer_gg ,FeelsStrongMan DAD <3,2021-07-16 14:06:13
ssbmomen,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:13
petercray,healthygamer_gg ,oh,2021-07-16 14:06:13
dpt_94,healthygamer_gg ,YEP,2021-07-16 14:06:13
vi_neuro,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:13
fahd_khan,healthygamer_gg ,PepeHands,2021-07-16 14:06:14
falk312,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:14
duckdotduck,healthygamer_gg ,RESPECC o7,2021-07-16 14:06:14
xbuttery,healthygamer_gg ,<3,2021-07-16 14:06:14
crozjc,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:14
is_dev,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:14
ssatine,healthygamer_gg ,PepeHands VirtualHug,2021-07-16 14:06:14
westworld,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:15
chasechase111,healthygamer_gg ,BibleThump,2021-07-16 14:06:15
eventz15,healthygamer_gg ,Sadge damn,2021-07-16 14:06:15
zappbdot,healthygamer_gg ,SeemsGood <3,2021-07-16 14:06:15
tweebunny,healthygamer_gg ,BibleThump <3 BibleThump <3 BibleThump <3,2021-07-16 14:06:16
explec0,healthygamer_gg ,theres that word again,2021-07-16 14:06:16
cleaneugene27,healthygamer_gg ,strong,2021-07-16 14:06:16
quinndt,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:16
pedro_figer,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:16
kwesiquest,healthygamer_gg ,plot twist monkaW,2021-07-16 14:06:16
chrononi,healthygamer_gg ,Sadge,2021-07-16 14:06:16
healthygamer_gg,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:16
creepyweeper,healthygamer_gg ,aw buddy,2021-07-16 14:06:17
jackjoejacket,healthygamer_gg ,Damn…,2021-07-16 14:06:17
theyellaking,healthygamer_gg ,Thats it man. So true,2021-07-16 14:06:17
nightcryptjp,healthygamer_gg ,<3,2021-07-16 14:06:17
trippzz1000,healthygamer_gg ,its ok to cry,2021-07-16 14:06:17
apeiroph0bia,healthygamer_gg ,Sadge,2021-07-16 14:06:17
prehistoricforce,healthygamer_gg ,<3,2021-07-16 14:06:17
teddybunz_,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:18
jditt,healthygamer_gg ,<3 <3 <3 <3,2021-07-16 14:06:18
kyza_draws,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:18
fertheferry,healthygamer_gg ,BibleThump,2021-07-16 14:06:18
thejproshow,healthygamer_gg ,<3 <3 <3,2021-07-16 14:06:18
hooyahah,healthygamer_gg ,VoHiYo,2021-07-16 14:06:18
fozziky,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:18
iamsphericus,healthygamer_gg ,<3 <3 <3,2021-07-16 14:06:18
nazlup,healthygamer_gg ,xqcL xqcL,2021-07-16 14:06:18
telecruzer,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:18
carbonatedcheesedrink,healthygamer_gg ,drhgHeart drhgAOE1 drhgAOE2 drhgAOE3,2021-07-16 14:06:18
feelimbz,healthygamer_gg ,<3 <3 <3 <3 <3,2021-07-16 14:06:19
flaredrip,healthygamer_gg ,WHAT A MAN BibleThump BibleThump BibleThump BibleThump,2021-07-16 14:06:19
exacerment,healthygamer_gg ,Holy shit,2021-07-16 14:06:19
jkspice420,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:19
nipsii,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:19
ogxyuma,healthygamer_gg ,IM CRYING CHAT,2021-07-16 14:06:20
replaykay,healthygamer_gg ,<3 <3 <3 <3,2021-07-16 14:06:20
zedbrains,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:20
chrisdoff,healthygamer_gg ,OHHHH shiii..,2021-07-16 14:06:20
tqyzz,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:20
aceking_bp,healthygamer_gg ,<3 <3 <3 <3 <3,2021-07-16 14:06:20
blessed_by_agni,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:20
canef13,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:20
redgubbinz,healthygamer_gg ,FAMILY FeelsStrongMan,2021-07-16 14:06:20
cybercleric,healthygamer_gg ,❤,2021-07-16 14:06:20
bs_blackscout,healthygamer_gg ,oh man BibleThump,2021-07-16 14:06:20
bestatnothing,healthygamer_gg ,FeelsStrongMan it's okay bro,2021-07-16 14:06:21
tacticalsanta,healthygamer_gg ,I didn't expect to cry today FeelsStrongMan,2021-07-16 14:06:21
nanachunk,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:21
mootie1,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:21
protomanexe17,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:21
tiltproofnchill,healthygamer_gg ,FeelsStrongMan Amazing <3,2021-07-16 14:06:21
r00f_ch,healthygamer_gg ,Sadge,2021-07-16 14:06:21
lilsmokeytv,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:22
tainas101,healthygamer_gg ,<3,2021-07-16 14:06:22
rgbacon_,healthygamer_gg ,<3 <3 <3 <3 <3,2021-07-16 14:06:22
jw_is_fine,healthygamer_gg ,picking up the slack of another worthless man feelsstrongman,2021-07-16 14:06:22
prodigyfps,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:22
general_pickleton,healthygamer_gg ,FeelsStrongMan Clap FeelsStrongMan Clap,2021-07-16 14:06:22
tarannon,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:23
blue3eing,healthygamer_gg ,<3 <3,2021-07-16 14:06:23
nalenium,healthygamer_gg :Oh fuuuuck D, damn this is so much baggage man,2021-07-16 14:06:23
prayingemantis,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:23
modxta23,healthygamer_gg ,<3,2021-07-16 14:06:23
massivelegendd,healthygamer_gg ,<3,2021-07-16 14:06:24
twisteditv,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:24
sablehawk_xiii,healthygamer_gg ,<3,2021-07-16 14:06:24
easystreet789,healthygamer_gg ,<3 <3 <3 <3 <3 <3 <3 <3 <3 <3,2021-07-16 14:06:24
icekiller159,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:25
samseriouss,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:25
kaige18,healthygamer_gg ,BibleThump BibleThump BibleThump BibleThump,2021-07-16 14:06:25
buttfarm_poker_,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:25
yaptheflipmasta,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:25
tenaciouschimera,healthygamer_gg ,What a powerful person omg,2021-07-16 14:06:26
littlejackfrost,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:26
memiemo,healthygamer_gg ,eggyCry,2021-07-16 14:06:27
lounge_act,healthygamer_gg ,DAD <3 FeelsStrongMan Clap,2021-07-16 14:06:27
angl_uwu,healthygamer_gg ,FeelsBadMan,2021-07-16 14:06:27
kwesiquest,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:27
ocygord,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:28
nineteeneightsix0,healthygamer_gg ,<3,2021-07-16 14:06:28
numbnumbnut,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:29
silent_fart_,healthygamer_gg ,<3,2021-07-16 14:06:29
lyoon1595,healthygamer_gg ,lirikTHUMP lirikTHUMP lirikTHUMP,2021-07-16 14:06:29
gitbluub,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:29
eatdoge1,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:29
fahd_khan,healthygamer_gg ,<3 FeelsStrongMan <3 FeelsStrongMan <3 FeelsStrongMan,2021-07-16 14:06:29
cloudsjr,healthygamer_gg ,<3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3,2021-07-16 14:06:29
skaktus1,healthygamer_gg ,good dad FeelsStrongMan,2021-07-16 14:06:29
incredibledino,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:30
fading_sleep,healthygamer_gg ,<3 <3 <3,2021-07-16 14:06:30
a_rutabaga,healthygamer_gg ,you love to see it,2021-07-16 14:06:30
mahiel3,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:30
steezyow,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:30
jackjoejacket,healthygamer_gg ,Facts,2021-07-16 14:06:31
borabeans,healthygamer_gg ,<3,2021-07-16 14:06:31
reaperdiff,healthygamer_gg ,<3 <3 FeelsStrongMan <3,2021-07-16 14:06:31
kyza_draws,healthygamer_gg ,Clap,2021-07-16 14:06:31
exacerment,healthygamer_gg ,🥲🥲🥲🥲🥲,2021-07-16 14:06:32
drdrizzie,healthygamer_gg ,nmpFeels nmpFeels nmpFeels nmpFeels nmpFeels nmpFeels nmpFeels,2021-07-16 14:06:32
ogxyuma,healthygamer_gg ,IM AT WORK CRYING 😭😭😭,2021-07-16 14:06:32
pwatts,healthygamer_gg ,widepeepoHappy FeelsStrongMan,2021-07-16 14:06:33
cuidavo,healthygamer_gg ,FeelsStrongMAn,2021-07-16 14:06:33
rashmodan,healthygamer_gg ,<3 <3 <3,2021-07-16 14:06:33
hyeonmi_,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:34
pinkwarded,healthygamer_gg ,I'm not crying,2021-07-16 14:06:34
jkspice420,healthygamer_gg ,<3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3,2021-07-16 14:06:34
thugglyfe,healthygamer_gg ,"god damn dude, what a powerfull being",2021-07-16 14:06:35
zreasonz_,healthygamer_gg ,<3 <3 <3,2021-07-16 14:06:36
justpressingbuttons_,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:36
juandjayego,healthygamer_gg ,fax,2021-07-16 14:06:36
ssbmomen,healthygamer_gg ,LULW,2021-07-16 14:06:36
laeliaxd,healthygamer_gg ,BibleThump  Clap awesome Dad,2021-07-16 14:06:37
krein,healthygamer_gg ,LULW,2021-07-16 14:06:37
sablehawk_xiii,healthygamer_gg :aw ,o,2021-07-16 14:06:37
tenaciouschimera,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:37
buttfarm_poker_,healthygamer_gg ,WHITE DAD POGGERS,2021-07-16 14:06:37
autumn_bird_,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:37
yhnu4,healthygamer_gg ,KEKW,2021-07-16 14:06:37
memiemo,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:37
explec0,healthygamer_gg ,LULW,2021-07-16 14:06:37
goofballguiness,healthygamer_gg ,Lmao,2021-07-16 14:06:37
waefer,healthygamer_gg ,<3,2021-07-16 14:06:38
nanachunk,healthygamer_gg ,FeelsStrongMan <3 Clap,2021-07-16 14:06:38
wizz4e,healthygamer_gg :,O <3,2021-07-16 14:06:38
jorj42069,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:38
seductive_nerd,healthygamer_gg ,LOL,2021-07-16 14:06:39
gecklord,healthygamer_gg ,oh man <3,2021-07-16 14:06:39
eventz15,healthygamer_gg ,thats awesome,2021-07-16 14:06:39
tiltproofnchill,healthygamer_gg ,LULW,2021-07-16 14:06:39
killermonk_ow,healthygamer_gg ,LUOLW,2021-07-16 14:06:39
captaincyborg10,healthygamer_gg ,<3,2021-07-16 14:06:39
egohaze,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:39
zappbdot,healthygamer_gg ,lol,2021-07-16 14:06:40
crackerjackal,healthygamer_gg ,Such a nice dude <3,2021-07-16 14:06:40
mahiel3,healthygamer_gg ,FeelsStrongMan <3  <3,2021-07-16 14:06:41
3rdkira,healthygamer_gg ,DuckerZ,2021-07-16 14:06:41
superdarkvoiid,healthygamer_gg ,<3 <3 <3,2021-07-16 14:06:41
margololita,healthygamer_gg ,BibleThump BibleThump BibleThump,2021-07-16 14:06:41
jessiteee,healthygamer_gg ,<3,2021-07-16 14:06:42
maskyyyyyyyy,healthygamer_gg ,RlyTho,2021-07-16 14:06:42
duckdotduck,healthygamer_gg ,what a chad,2021-07-16 14:06:42
shanl333,healthygamer_gg ,crying rn,2021-07-16 14:06:42
louii__,healthygamer_gg ,KEKW,2021-07-16 14:06:42
kachemusic,healthygamer_gg ,"your dad could have been much worse, like my dad",2021-07-16 14:06:42
prayingemantis,healthygamer_gg ,LULW,2021-07-16 14:06:43
wizardspell_,healthygamer_gg ,<3 <3 <3,2021-07-16 14:06:43
zedbrains,healthygamer_gg ,Hahahah,2021-07-16 14:06:43
arclight33,healthygamer_gg ,FeelsStrongMan FeelsStrongMan FeelsStrongMan FeelsStrongMan FeelsStrongMan,2021-07-16 14:06:43
staralfur12,healthygamer_gg ,L nerd,2021-07-16 14:06:43
mfkillionaire,healthygamer_gg ,KEKW AMAZING,2021-07-16 14:06:43
pwatts,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:44
klitkommanda,healthygamer_gg ,Sounds like he just tried his best <3,2021-07-16 14:06:44
aabbytries,healthygamer_gg ,<3,2021-07-16 14:06:44
aliicat_,healthygamer_gg ,awhh,2021-07-16 14:06:44
er0zim,healthygamer_gg ,<3,2021-07-16 14:06:44
ssatine,healthygamer_gg ,widepeepoSad,2021-07-16 14:06:44
stirfried,healthygamer_gg ,king,2021-07-16 14:06:45
tweebunny,healthygamer_gg ,<3,2021-07-16 14:06:45
peanut_butter_cookies,healthygamer_gg ,BibleThump,2021-07-16 14:06:45
jkspice420,healthygamer_gg ,Got me crying in the club,2021-07-16 14:06:45
antiliani,healthygamer_gg ,KEKW,2021-07-16 14:06:45
yuventuz,healthygamer_gg ,hahahaHAHAHA,2021-07-16 14:06:45
nazlup,healthygamer_gg ,xqcL xqcL xqcL xqcL xqcL xqcL xqcL xqcL,2021-07-16 14:06:45
mojigottaken,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:45
wcafc,healthygamer_gg ,LULW,2021-07-16 14:06:45
gracedidntwakeup,healthygamer_gg ,<3 <3,2021-07-16 14:06:46
yoitzomar,healthygamer_gg ,he a good dude,2021-07-16 14:06:46
vi_neuro,healthygamer_gg ,<3,2021-07-16 14:06:46
yaptheflipmasta,healthygamer_gg ,<3,2021-07-16 14:06:46
dbviana733,healthygamer_gg ,<3,2021-07-16 14:06:47
rgbacon_,healthygamer_gg ,whos cutting onions,2021-07-16 14:06:47
theyellaking,healthygamer_gg ,that is a man,2021-07-16 14:06:47
dethrey,healthygamer_gg ,<3,2021-07-16 14:06:47
phantom_tornado,healthygamer_gg ,"you seem healthy, maybe you just need a more meaningful interactive company but that is rng",2021-07-16 14:06:48
lonklive,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:48
carbonatedcheesedrink,healthygamer_gg ,<3 <3 <3 <3 VirtualHug <3 VirtualHug <3 VirtualHug,2021-07-16 14:06:48
bigboioy,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:48
sandwich_smile,healthygamer_gg ,FeelsStrongMan this is getting emotional,2021-07-16 14:06:48
xcdnor,healthygamer_gg ,FeelsStrongMan Clap <3,2021-07-16 14:06:49
drmevo,healthygamer_gg ,<3,2021-07-16 14:06:49
numbnumbnut,healthygamer_gg ,<3,2021-07-16 14:06:49
araashnajain,healthygamer_gg ,😟,2021-07-16 14:06:49
bestatnothing,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:49
jaytea111,healthygamer_gg ,oh what the hell its race now,2021-07-16 14:06:49
ogxyuma,healthygamer_gg ,AWWWWW BROOOOOO THIS IS GREAAAAAT,2021-07-16 14:06:50
urcsgoname,healthygamer_gg ,<3,2021-07-16 14:06:50
fertheferry,healthygamer_gg ,BibleThump BibleThump,2021-07-16 14:06:50
harevald,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:50
gordonbman,healthygamer_gg ,FeelsStrongMan he has a good heart it seems,2021-07-16 14:06:50
mythicalwrinkle,healthygamer_gg ,You are his son my chad g,2021-07-16 14:06:50
jw_is_fine,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:50
distilledhoney,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:50
mightygooda2,healthygamer_gg ,Word <3 <3,2021-07-16 14:06:50
doriclouds,healthygamer_gg ,<3,2021-07-16 14:06:51
flyingsausage,healthygamer_gg ,<3,2021-07-16 14:06:51
toxicmo0rty,healthygamer_gg ,crying rnn,2021-07-16 14:06:51
brosko_kz,healthygamer_gg ,<3,2021-07-16 14:06:51
ftpsora,healthygamer_gg ,FeelsOkayMan,2021-07-16 14:06:51
buttfarm_poker_,healthygamer_gg ,aa Good Guy Dad FeelsStrongMan Good Guy Dad FeelsStrongMan Good Guy Dad FeelsStrongMan,2021-07-16 14:06:51
dee_spyder,healthygamer_gg ,<3,2021-07-16 14:06:51
westworld,healthygamer_gg ,widepeepoSad,2021-07-16 14:06:51
modxta23,healthygamer_gg ,<3 <#,2021-07-16 14:06:51
weebs_in,healthygamer_gg ,quinL,2021-07-16 14:06:51
reaperdiff,healthygamer_gg ,widepeepoHappy,2021-07-16 14:06:52
zenith_,healthygamer_gg ,FeelsStrongMan <3 DAD,2021-07-16 14:06:52
youngsachi,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:53
bs_blackscout,healthygamer_gg ,the onions,2021-07-16 14:06:53
xchainfirex,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:53
shubhankarsin,healthygamer_gg ,pg dude,2021-07-16 14:06:53
airchum,healthygamer_gg ,my dad did the same thing man i know how you feel i wasnt his biological kid but im his son,2021-07-16 14:06:53
canef13,healthygamer_gg ,FeelsStrongMan,2021-07-16 14:06:54
justintimeotaku,healthygamer_gg ,<3,2021-07-16 14:06:54
